id	filename	md5	size	state
d8d27de0-a5f3-4a56-9c57-5d7964857357	TCGA-AO-A0J4.846851BE-3D24-46F0-A6BE-CEB22C7D0F62.PDF	ff0590b382c45b0c2e6a5c6df459469d	746332	released
ba2d02f0-beb4-436a-b585-7b4f7255df4b	TCGA-A2-A04R.6A97C809-91BB-4E35-9E12-F5F2A58C9D35.PDF	799b5d99843e58087785226fc9826b61	144861	released
f569ce76-cfa9-4bfd-9289-2369de7c5cd4	TCGA-EW-A1PE.F59530A5-7370-4E77-9099-9F38B25A38EB.PDF	4060377a64aa69b286e8a5c2e270ad6c	182810	released
01461646-e769-4f18-a157-40560d7c327d	TCGA-D8-A1JL.156DF753-DB3A-4934-9618-1E18CE46C845.PDF	8ff191bc905f3b56676fe433e04972aa	69606	released
ff651cc6-db63-4637-b0e4-84ada73ccd1f	TCGA-D8-A1XW.BD71F606-58BC-46B9-8A03-CB25D5BECA96.PDF	2dd44c3478fe5eb8e39fb67241e6c881	72714	released
3665b793-bed7-474b-a489-81ffc030ccf8	TCGA-A2-A25A.3971CA42-F1B0-4D85-9AD3-210B98E76A9C.PDF	789c3f6e5b81bc62d46de3860a96fea4	168190	released
e6d9087e-1fe1-44e7-8e68-1458a692e8dd	TCGA-AR-A0TP.E1A92F92-1DD2-4E33-9C16-3FD0371D1431.PDF	acd90afb30109c517a6009e0a8048814	47553	released
c19fcbee-9f71-4c88-b457-6b6c85cdb4ee	TCGA-A8-A090.549E825B-F206-4FF9-835B-2FBE51C7B831.PDF	72e287ec085454593ee9fe47e83dc704	84301	released
39cec58f-4e66-40a4-993f-243402719907	TCGA-AO-A12B.CF071D24-7BA2-43BE-B3E7-A981DBDFCA0F.PDF	2c3b928f95a806aa2d515827d6758e3a	207362	released
b535c84d-c9f1-4db2-a204-6219c2f5a81b	TCGA-BH-A18M.4F67B7BE-68C1-40E1-8276-2D26B46C744D.PDF	44dafcbbe480ff95428cc36c526a378f	110851	released
652154cd-66d7-44f5-bad4-684953ab4f15	TCGA-GM-A5PX.E49FAC55-434A-429B-8E61-C5E0FBD7C15C.PDF	6f6849722585f0971230d8c94134da33	322940	released
11b5e7b0-88b8-4f15-b7b8-e4d7139b9c2f	TCGA-BH-A18R.46DE21ED-1E08-4095-9B68-88D10AC74673.PDF	caebaceeb0eee05d978998263a0b219c	65802	released
c0561d62-489a-4ab1-b2f7-edf0ab8a87c3	TCGA-AR-A1AX.4FDBA110-6E14-428C-BF82-168AE28A14E4.PDF	2763ebe8beaac742f1690f433c303380	56878	released
b48b7d33-5537-427c-8b71-e33c261e89ff	TCGA-A8-A099.34499A83-DFCE-4DB8-BAA0-A7590AF8BC07.PDF	5c3a9e382bcf8edfa79f6ebe6c8f06cd	83362	released
f59b4ccd-126f-49d5-a082-e8aa980769ff	TCGA-AO-A0J6.CE2FF4D3-B82C-4435-AE1C-3E2E6F104271.PDF	88c1d4cdeb80c9af132766b81ac95e65	635658	released
00a7f79f-49bd-46b9-bde2-1a28ac6eecce	TCGA-LL-A73Y.9A8F7726-D97C-44DE-B72F-6BF0FC2078F8.PDF	14ed4e00aeaebe7848fc2e7b70422d3b	221937	released
a75a3f66-d02a-4ecd-9f23-6d49299c196a	TCGA-E2-A1IH.12DAEBF2-CDBF-4D90-9C74-2A2AEF1E8433.PDF	bf2b96eb116bf414cee2e43f3d9e6b0f	235484	released
426d2046-9915-494f-987f-f9acd4957d43	TCGA-EW-A1J1.E8B860F6-F3FD-4FDF-B467-8988646C2F00.PDF	55e8b1bccdb18538b5fef343a860952d	270817	released
58c05fc2-2aa8-4fa7-91e0-4f60fdae1cfd	TCGA-A7-A4SC.5E14E7CA-3417-4379-8EE3-7F00D6D4A02B.PDF	28c4c2a95d2bb107ab77e5ea136d637d	169191	released
86a17b6f-e1b4-48e3-8f4c-7b3241e14e1a	TCGA-E2-A1L8.9AA68C63-2C14-430A-85C0-5A92F7FCCD36.PDF	7c8d3c9fc5900f2fe0920c02b72c78e0	358792	released
cc94dc60-0c42-4bf2-92ec-c7b9315afa7c	TCGA-A7-A56D.D564A7FB-4F0A-4589-AB32-A6CD8B547219.PDF	c751ef0f42b9ec2f8095e7b90a3456ea	146202	released
0d0d2944-33f5-4378-a023-f7fe1a3faf0b	TCGA-C8-A27B.CD43BA31-A5C6-4C0C-AA07-3171332776CC.PDF	bfcbee349d313f0aa51c9d013f9ad6fb	357076	released
bab5ba1c-6fec-47a9-95f4-ca585f4a2b2f	TCGA-B6-A0WW.F05F5886-DC5D-4685-B2BF-57A68A0BB7B9.PDF	a77fde31c13382d32ed70ed9b92ff85d	154407	released
852eadde-de58-45cb-9cd2-81be7c92d48b	TCGA-BH-A0BP.2444E1FE-E0AB-4AA0-9081-967426B90EE6.PDF	97c1358b8b97c9aac7f863c31da7e283	93201	released
fcfc982d-1d50-4648-989c-0dff53c651eb	TCGA-AC-A3OD.9F7E2B98-29E7-465F-AE12-33D78FDFD71A.PDF	14539d8c05081c3ccb762e3feb87bfae	396213	released
40f701d3-9742-4cfd-81cf-5e2db32b5741	TCGA-AQ-A1H2.1B5FA34B-E3B4-4D4B-AF0A-1C90016CC532.PDF	664fb78e8254acf1bc068d0db582f11b	322944	released
d4424a60-c867-4d6b-aacc-157c62b12239	TCGA-E9-A1R0.DD0ADC20-2059-435E-9EB4-351C87D7CBEB.PDF	7a31e12cc3227cb56703e05e86f1b31e	51320	released
1a8f7ef0-a98d-4cb6-bf29-8ae170b90472	TCGA-EW-A1P1.AE0C51EF-017E-4F53-968C-804110F9A7E6.PDF	7ac9b3268e51b09a83a92bad4ebf7025	179487	released
84363750-0dd0-45fc-b178-78f4d021f43e	TCGA-E9-A5FL.72186F5B-9F97-428C-8E06-9240E17E88DD.PDF	7d0be8bdf933e02564d3593c8316b0bb	80176	released
32ffb960-ca14-4aea-a8f4-2148430aa5af	TCGA-A2-A1G4.5AD3B697-F097-496C-978B-F73BDA5394A7.PDF	52fc8371ba913a406c5221fa9112af50	369606	released
f8f66c8e-90da-4a2d-a926-df64c4649c5c	TCGA-E2-A106.D05A4266-6719-4916-B7D0-A23275A88266.PDF	ab30569ca2201de457584cb6ad58b6b8	290835	released
ff1856b4-b2c8-43b6-8c6c-c006733ec678	TCGA-AC-A23G.810663DD-1718-4FD6-B9C2-77B4C091B3F1.PDF	c3d3e055feabb581b42d0130d06269f2	288527	released
